日本橋OIKAWA-日本橋-懐石・会席料理,東京都中央区日本橋2-15-8 
おにく 花柳-【旧店名】和牛銘菜　然-水天宮前-焼肉,東京都中央区日本橋小舟町11-11 Kビル 1F
島-シマ-日本橋-ステーキ,東京都中央区日本橋3-5-12 日本橋ＭＭビル　Ｂ１Ｆ
